1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009
1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
3 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
4 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
5 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
6 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
7 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
8 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
9 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
10 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
11 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
12 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 1 1 1 1 1 1 1 1 1 1 NA 1 1 1 1 NA 1 1
